Bloomberg ID,Actual Spread,Predicted Spread,Lower (95%),Upper (95%),Baseline (Ridge),Top Comp
BLUEM 2020-29A ER,89.56,91.37,88.82,98.52,93.19,
BRYPK 2023-20A ER,102.521,101.34,97.61,102.49,103.6,BOBA 2024-1A E
AGL 2025-40A E,92.5,94.51,93.75,99.49,95.0,BSP 2025-40A E
RAD 2020-9A ER,96.256,98.65,96.86,100.22,98.09,GNAPK 2021-2A ER
NAVS 2025-4A E,100.22,99.11,96.7,101.3,101.99,CKSRC 2024-1A E
CIFC 2021-4A ER,97.52,97.68,93.93,98.96,96.59,CIFC 2021-4A ER
OAKC 2020-6A ER2,97.315,97.23,94.04,99.2,94.82,OAKC 2020-5A ER
ARES 2015-4A DR,100.7,100.94,96.07,101.69,111.49,
OCT16 2013-1A ER,84.11,83.36,79.18,99.61,86.17,OCT27 2016-1A ER
SYMP 2024-42A E,98.65,98.34,94.08,99.36,96.01,VOYA 2024-2A E
NEUB 2020-38A ER2,98.9,99.13,96.95,101.4,99.89,NEUB 2021-43A ER
CAVU 2021-3A E,97.0,97.33,94.34,99.66,96.34,VOYA 2019-4A ER
CIFC 2013-2A B2LR,99.566,98.46,94.87,99.31,97.23,CIFC 2015-1A ERR
OCT51 2021-1A ER,93.74,95.99,93.43,99.46,95.71,CGMS 2021-9A ER
WOODS 2018-11BA ER,99.81,100.64,97.03,100.98,100.22,CAVU 2021-1A ER
EATON 2020-2A ER2,93.689,95.8,94.25,98.84,95.51,SYMP 2024-44A E
ORCHPK 2024-1A E,97.5,97.9,95.74,100.26,96.84,MIDO 2023-12A ERR
DRSLF 2017-49A E,95.4,93.56,88.5,99.23,91.64,DRSLF 2017-50A E
SNDPT 2019-1A E,84.162,75.43,77.58,99.55,87.28,TSYMP 2017-1A E
SPCLO 2022-1A ER,98.75,99.95,97.39,101.56,98.62,HLM 2023-17A ER
ROCKT 2024-1A E,100.369,99.51,95.09,100.14,98.37,
EMPWR 2023-2A ER,96.81,97.29,95.96,100.36,95.94,OAKCL 2023-2A ER
CIFC 2021-5A ER,97.53,96.9,94.12,99.21,95.8,CIFC 2021-5A ER
SHACK 2015-7RA E,91.0,88.7,86.01,99.46,91.61,OZLM 2017-17A D
MVEW 2025-1A E,95.0,95.82,94.25,100.23,98.9,AMMC 2025-31A E
SYMP 2023-38A ER,97.431,98.69,96.26,100.28,97.65,NEUB 2017-25A ER2
CANYC 2020-1A ER2,99.516,98.33,95.49,100.24,98.19,
RMRK 2017-1A D,99.333,97.68,93.8,99.05,95.46,
