Bloomberg ID,Actual Spread,Predicted Spread,Lower (95%),Upper (95%),Baseline (Ridge),Top Comp
DRSLF 2017-49A E,95.4,91.03,84.99,97.07,91.03,DRSLF 2017-50A E
SNDPT 2019-1A E,84.162,85.32,79.28,91.35,85.32,TSYMP 2017-1A E
SPCLO 2022-1A ER,98.75,98.07,92.03,104.1,98.07,
ROCKT 2024-1A E,100.369,98.72,92.68,104.75,98.72,TKO 2023-1A ER
EMPWR 2023-2A ER,96.81,95.5,89.47,101.54,95.5,
CIFC 2021-5A ER,97.53,95.29,89.26,101.33,95.29,CIFC 2021-5A ER
SHACK 2015-7RA E,91.0,89.52,83.48,95.55,89.52,
MVEW 2025-1A E,95.0,99.15,93.12,105.19,99.15,
SYMP 2023-38A ER,97.431,97.57,91.53,103.61,97.57,NEUB 2017-25A ER2
CANYC 2020-1A ER2,99.516,98.57,92.53,104.6,98.57,
RMRK 2017-1A D,99.333,94.92,88.88,100.96,94.92,JTWN 2018-11A D
