Bloomberg ID,Actual Cover,No Synth Pred,No Synth Error,bootstrap Pred,bootstrap Error,ctgan Pred,ctgan Error,glow Pred,glow Error,ddpm Pred,ddpm Error
BLUEM 2020-29A ER,89.56,90.494,0.934,90.275,0.715,92.19,2.63,90.267,0.707,89.907,0.347
NEUB 2018-27A ER,101.339,100.408,-0.931,100.232,-1.107,99.629,-1.71,100.089,-1.25,100.363,-0.976
RMRK 2018-1A E,93.303,92.42,-0.883,92.219,-1.084,94.176,0.873,92.208,-1.095,92.556,-0.747
REG30 2024-4A E,93.0,93.861,0.861,94.031,1.031,93.74,0.74,94.358,1.358,94.077,1.077
TREST 2021-4A ER,100.421,99.566,-0.855,99.822,-0.599,99.447,-0.974,99.757,-0.664,99.761,-0.66
SPCLO 2022-1A ER,98.75,99.542,0.792,99.04,0.29,99.5,0.75,99.518,0.768,99.111,0.361
INVCO 2022-2A ER,95.567,96.347,0.78,96.552,0.985,95.377,-0.19,96.181,0.614,96.273,0.706
ROCKT 2024-1A E,100.369,99.604,-0.765,98.511,-1.858,99.18,-1.189,99.244,-1.125,99.326,-1.043
NEUB 2021-40A ER,100.355,99.613,-0.742,99.259,-1.096,99.455,-0.9,99.758,-0.597,99.671,-0.684
LAKPK 2025-1A E,99.961,99.296,-0.665,99.317,-0.644,99.92,-0.041,99.095,-0.866,99.074,-0.887
OAKCL 2022-2A ER2,97.47,96.805,-0.665,96.778,-0.692,96.0,-1.47,96.339,-1.131,96.838,-0.632
BGCLO 2024-8A E,101.551,102.188,0.637,102.27,0.719,101.406,-0.145,102.029,0.478,101.637,0.086
APID 2024-47A E,101.11,101.711,0.601,101.63,0.52,101.261,0.151,101.847,0.737,101.544,0.434
VOYA 2025-1A E,100.767,100.177,-0.59,100.283,-0.484,100.172,-0.595,100.232,-0.535,100.057,-0.71
NAVS 2025-4A E,100.22,99.631,-0.589,99.427,-0.793,100.142,-0.078,99.222,-0.998,99.745,-0.475
CIFC 2021-5A ER,97.53,96.973,-0.557,96.952,-0.578,96.531,-0.999,96.733,-0.797,96.981,-0.549
MDPK 2022-62A ER2,100.655,100.109,-0.546,99.868,-0.787,99.879,-0.776,99.771,-0.884,99.987,-0.668
SYMP 2024-42A E,98.65,98.109,-0.541,97.759,-0.891,98.324,-0.326,98.033,-0.617,98.176,-0.474
CAVU 2021-3A E,97.0,97.535,0.535,97.31,0.31,97.913,0.913,96.617,-0.383,95.65,-1.35
TCW 2025-1A E,98.789,99.321,0.532,99.249,0.46,99.865,1.076,99.126,0.337,98.992,0.203
RAD 2022-16A ER,99.267,98.742,-0.525,99.281,0.014,99.267,-0.0,99.295,0.028,99.652,0.385
SIXST 2020-15A ER,100.555,101.064,0.509,101.158,0.603,100.765,0.21,100.804,0.249,101.22,0.665
EMPWR 2023-2A ER,96.81,97.314,0.504,97.767,0.957,98.656,1.846,96.712,-0.098,96.903,0.093
VYSPK 2022-1A E1RR,88.0,88.501,0.501,88.685,0.685,90.199,2.199,88.169,0.169,86.708,-1.292
VOYA 2023-1A ER,99.55,99.124,-0.426,99.39,-0.16,99.345,-0.205,99.191,-0.359,99.345,-0.205
NEUB 2017-16SA ER2,99.235,98.824,-0.411,98.855,-0.38,98.803,-0.432,99.587,0.352,99.187,-0.048
MDPK 2021-48A ER,99.0,98.645,-0.355,98.927,-0.073,97.315,-1.685,98.124,-0.876,98.273,-0.727
RRAM 2025-37A D,99.81,99.497,-0.313,99.556,-0.254,99.801,-0.009,99.843,0.033,99.538,-0.272
NEUB 2020-38A ER2,98.9,99.203,0.303,99.352,0.452,99.839,0.939,99.093,0.193,99.172,0.272
OAKC 2020-6A ER2,97.315,97.606,0.291,97.257,-0.058,96.907,-0.408,97.159,-0.156,97.591,0.276
SIXST 2024-25A E,101.417,101.662,0.245,101.643,0.226,101.335,-0.082,101.352,-0.065,101.622,0.205
ELM26 2024-1A E,101.57,101.335,-0.235,101.615,0.045,101.567,-0.003,101.753,0.183,102.006,0.436
JTWN 2021-16A ER,95.635,95.411,-0.224,94.626,-1.009,95.628,-0.007,94.878,-0.757,95.724,0.089
CIFC 2021-4A ER,97.52,97.735,0.215,97.57,0.05,97.797,0.277,97.74,0.22,98.016,0.496
LODI 2024-1A E,89.78,89.577,-0.203,89.877,0.097,89.587,-0.193,90.845,1.065,89.185,-0.595
OBRAC 2024-1A E,100.28,100.465,0.185,100.426,0.146,100.47,0.19,99.951,-0.329,100.409,0.129
SHACK 2013-4RA D,98.75,98.925,0.175,99.012,0.262,99.488,0.738,100.226,1.476,99.737,0.987
BCC 2021-6A E,98.0,97.834,-0.166,97.64,-0.36,98.78,0.78,98.291,0.291,98.06,0.06
